,Name,IATA,Latitude,Longitude
140,CFB Trenton,YTR,44.118900299072266,-77.5280990600586
141,Timmins/Victor M. Power,YTS,48.569698333699996,-81.376701355
142,Billy Bishop Toronto City Centre Airport,YTZ,43.627499,-79.396202
143,Tuktoyaktuk Airport,YUB,69.43329620361328,-133.0260009765625
144,Montreal / Pierre Elliott Trudeau International Airport,YUL,45.4706001282,-73.7407989502
145,Repulse Bay Airport,YUT,66.5214004517,-86.22470092770003
146,Hall Beach Airport,YUX,68.77610015869999,-81.2425
147,Rouyn Noranda Airport,YUY,48.20610046386719,-78.83560180664062
148,La Ronge Airport,YVC,55.1514015198,-105.262001038
149,Vermilion Airport,YVG,53.355800628699996,-110.823997498
150,Qikiqtarjuaq Airport,YVM,67.5457992554,-64.03140258789999
151,Val-d'Or Airport,YVO,48.0532989502,-77.7827987671
152,Kuujjuaq Airport,YVP,58.09609985351562,-68.42690277099611
153,Norman Wells Airport,YVQ,65.28160095214844,-126.7979965209961
154,Vancouver International Airport,YVR,49.193901061999995,-123.183998108
155,Buffalo Narrows Airport,YVT,55.8418998718,-108.41799926799999
156,Wiarton Airport,YVV,44.7458,-81.107201
157,Petawawa Airport,YWA,45.95220184326172,-77.31919860839844
158,Winnipeg / James Armstrong Richardson International Airport,YWG,49.909999847399995,-97.2398986816
159,Wabush Airport,YWK,52.92190170288086,-66.86440277099611
160,Williams Lake Airport,YWL,52.1831016541,-122.054000854
161,Wrigley Airport,YWY,63.20940017700195,-123.43699645996094
162,Cranbrook/Canadian Rockies International Airport,YXC,49.610801696777,-115.78199768066001
163,Edmonton City Centre (Blatchford Field) Airport,YXD,53.5724983215,-113.52100372299999
164,Saskatoon John G. Diefenbaker International Airport,YXE,52.170799255371094,-106.6999969482422
165,Medicine Hat Airport,YXH,50.01890182495117,-110.72100067138672
166,Fort St John Airport,YXJ,56.23809814453125,-120.73999786376952
167,Sioux Lookout Airport,YXL,50.11389923095703,-91.9052963256836
168,Pangnirtung Airport,YXP,66.1449966431,-65.71360015869999
169,Earlton (Timiskaming Regional) Airport,YXR,47.6974006546,-79.84734535220001
170,Prince George Airport,YXS,53.8894004822,-122.679000854
171,Northwest Regional Airport Terrace-Kitimat,YXT,54.468498,-128.576009
172,London Airport,YXU,43.035599,-81.1539
173,Abbotsford Airport,YXX,49.02529907226562,-122.36100006103516
174,Whitehorse / Erik Nielsen International Airport,YXY,60.709598541300004,-135.067001343
175,North Bay Jack Garland Airport,YYB,46.363602,-79.422798
176,Calgary International Airport,YYC,51.113899231000005,-114.019996643
177,Smithers Airport,YYD,54.82469940185547,-127.18299865722656
178,Fort Nelson Airport,YYE,58.8363990784,-122.59700012200001
179,Penticton Airport,YYF,49.46310043334961,-119.60199737548828
180,Charlottetown Airport,YYG,46.290000915527344,-63.12110137939453
181,Taloyoak Airport,YYH,69.5466995239,-93.57669830319999
182,Victoria International Airport,YYJ,48.646900177,-123.426002502
183,Lynn Lake Airport,YYL,56.86389923095703,-101.07599639892578
184,Swift Current Airport,YYN,50.291900634799994,-107.691001892
185,Churchill Airport,YYQ,58.73920059204102,-94.06500244140624
186,Goose Bay Airport,YYR,53.3191986084,-60.425800323500006
187,St. John's International Airport,YYT,47.618598938000005,-52.751899719200004
188,Kapuskasing Airport,YYU,49.41389846801758,-82.46749877929688
189,Armstrong Airport,YYW,50.29029846191406,-88.90969848632812
190,Mont Joli Airport,YYY,48.60860061645508,-68.20809936523439
191,Lester B. Pearson International Airport,YYZ,43.6772003174,-79.63059997559999
192,Downsview Airport,YZD,43.74250030517578,-79.4655990600586
193,Gore Bay Manitoulin Airport,YZE,45.88529968261719,-82.56780242919922
194,Yellowknife Airport,YZF,62.46279907226562,-114.44000244140624
195,Slave Lake Airport,YZH,55.293098449700004,-114.777000427
196,Sandspit Airport,YZP,53.25429916379999,-131.813995361
197,Chris Hadfield Airport,YZR,42.9994010925293,-82.30889892578125
198,Port Hardy Airport,YZT,50.68059921264648,-127.36699676513672
199,Whitecourt Airport,YZU,54.14390182495117,-115.78700256347656
200,Sept-Îles Airport,YZV,50.22330093383789,-66.26560211181639
201,Teslin Airport,YZW,60.17279815673828,-132.74299621582028
202,CFB Greenwood,YZX,44.98440170288086,-64.91690063476561
203,Faro Airport,ZFA,62.20750045776367,-133.37600708007812
204,Fort Mcpherson Airport,ZFM,67.40750122070311,-134.86099243164062
205,Blida Airport,QLD,36.50360107421875,2.814169883728028
206,Bou Saada Airport,BUJ,35.33250045776367,4.206389904022217
207,Soummam Airport,BJA,36.712001800500005,5.0699200630200005
208,Houari Boumediene Airport,ALG,36.691001892089844,3.215409994125366
209,Djanet Inedbirene Airport,DJG,24.292801,9.45244
210,Boufarik Airport,\N,36.545799,2.8761099999999997
211,Reggane Airport,\N,26.7101,0.285647
212,Illizi Takhamalt Airport,VVZ,26.7234992981,8.62265014648
213,Ain Oussera Airport,\N,35.52539825439453,2.8787100315093994
214,Aguenar – Hadj Bey Akhamok Airport,TMR,22.8115005493,5.45107984543
215,Jijel Ferhat Abbas Airport,GJL,36.7951011658,5.873610019680001
216,Mecheria Airport,MZW,33.535900116,-0.242353007197
217,Relizane Airport,\N,35.752201,0.626272
218,Rabah Bitat Airport,AAE,36.822201,7.8091740000000005
219,Mohamed Boudiaf International Airport,CZL,36.2760009765625,6.620389938354492
220,Cheikh Larbi Tébessi Airport,TEE,35.4315986633,8.120719909670001
221,Hassi R'Mel Airport,HRM,32.93040084838867,3.311539888381958
222,Bou Chekif Airport,TID,35.3410987854,1.4631500244100002
223,Bou Sfer Airport,\N,35.73540115356445,-0.8053889870643616
224,Tindouf Airport,TIN,27.700399398800002,-8.167099952700001
225,Ech Cheliff Airport,CFK,36.212699890100005,1.33176994324
226,Tafaraoui Airport,TAF,35.54240036010742,-0.5322780013084412
227,Zenata – Messali El Hadj Airport,TLM,35.0167007446,-1.4500000476800001
228,Es Senia Airport,ORN,35.6239013672,-0.6211829781529999
229,Sidi Bel Abbes Airport,BFW,35.1717987061,-0.593275010586
230,Ghriss Airport,MUW,35.207698822021484,0.14714199304580688
231,Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,27.83760070800781,-0.1864140033721924
232,Biskra Airport,BSK,34.793300628699996,5.73823022842
233,El Golea Airport,ELG,30.5713005065918,2.8595900535583496
234,Noumérat - Moufdi Zakaria Airport,GHA,32.38410186767578,3.7941100597381587
235,Oued Irara Airport,HME,31.673000335700003,6.140439987180001
236,In Salah Airport,INZ,27.2509994507,2.51202011108
237,Touggourt Sidi Madhi Airport,TGR,33.067798614501946,6.088669776916504
238,Laghouat Airport,LOO,33.764400482199996,2.92833995819
239,Timimoun Airport,TMX,29.237100601199998,0.276033014059
240,Ain el Beida Airport,OGX,31.917200088500977,5.412779808044434
241,In Aménas Airport,IAM,28.0515,9.64291
242,Cadjehoun Airport,COO,6.357230186462402,2.384350061416626
243,Ouagadougou Airport,OUA,12.3532,-1.51242
244,Bobo Dioulasso Airport,BOY,11.160099983215332,-4.33096981048584
245,Kotoka International Airport,ACC,5.605189800262451,-0.16678600013256073
246,Tamale Airport,TML,9.55718994140625,-0.8632140159606934
247,Wa Airport,\N,10.0826997756958,-2.507689952850342
248,Sunyani Airport,NYI,7.361830234527588,-2.3287599086761475
249,Takoradi Airport,TKD,4.896059989929199,-1.7747600078582764
250,Port Bouet Airport,ABJ,5.261390209197998,-3.9262900352478023
251,Bouaké Airport,BYK,7.738800048828125,-5.073669910430908
252,Daloa Airport,DJO,6.7928099632263175,-6.473189830780028
253,Korhogo Airport,HGO,9.38718032837,-5.556660175319999
254,Man Airport,MJC,7.2720699310302725,-7.58735990524292
255,San Pedro Airport,SPY,4.746719837188722,-6.660820007324219
256,Yamoussoukro Airport,ASK,6.9031701088,-5.36558008194
257,Nnamdi Azikiwe International Airport,ABV,9.006790161132812,7.263169765472412
258,Akure Airport,AKR,7.246739864349365,5.3010101318359375
259,Benin Airport,BNI,6.3169798851013175,5.599500179290772
260,Margaret Ekpo International Airport,CBQ,4.976019859313965,8.347200393676758
